2023-05-27 06:07:23,693 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 6, 'max_features': 0.3, 'n_estimators': 13}
2023-05-27 06:07:23,694 | INFO | ----------------------------------------

2023-05-27 06:07:24,076 | INFO | Selecting 95 principal component making up 80% of the variance:

2023-05-27 06:07:24,076 | INFO | -----------------------------------------------------------------------

2023-05-27 06:07:24,078 | INFO | PCA with 80% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 06:07:24,079 | INFO | -------------------------------------------------------------------

2023-05-27 06:07:24,079 | INFO | GridSearchCV Starting:
2023-05-27 06:07:24,080 | INFO | ----------------------

2023-05-27 06:34:38,621 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 20}
2023-05-27 06:34:38,622 | INFO | ----------------------------------------

2023-05-27 06:34:38,969 | INFO | Selecting 125 principal component making up 85% of the variance:

2023-05-27 06:34:38,969 | INFO | -----------------------------------------------------------------------

2023-05-27 06:34:38,971 | INFO | PCA with 85% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 06:34:38,972 | INFO | -------------------------------------------------------------------

2023-05-27 06:34:38,972 | INFO | GridSearchCV Starting:
2023-05-27 06:34:38,973 | INFO | ----------------------

2023-05-27 07:07:51,550 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 23}
2023-05-27 07:07:51,551 | INFO | ----------------------------------------

2023-05-27 07:07:51,961 | INFO | Selecting 166 principal component making up 90% of the variance:

2023-05-27 07:07:51,962 | INFO | -----------------------------------------------------------------------

2023-05-27 07:07:51,964 | INFO | PCA with 90% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 07:07:51,964 | INFO | -------------------------------------------------------------------

2023-05-27 07:07:51,965 | INFO | GridSearchCV Starting:
2023-05-27 07:07:51,965 | INFO | ----------------------

2023-05-27 07:49:14,896 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 4, 'max_features': 0.3, 'n_estimators': 23}
2023-05-27 07:49:14,897 | INFO | ----------------------------------------

2023-05-27 07:49:16,033 | INFO | Selecting 231 principal component making up 95% of the variance:

2023-05-27 07:49:16,034 | INFO | -----------------------------------------------------------------------

2023-05-27 07:49:16,036 | INFO | PCA with 95% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 07:49:16,037 | INFO | -------------------------------------------------------------------

2023-05-27 07:49:16,037 | INFO | GridSearchCV Starting:
2023-05-27 07:49:16,038 | INFO | ----------------------

2023-05-27 08:43:47,390 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'entropy', 'max_depth': 9, 'max_features': 1.0, 'n_estimators': 23}
2023-05-27 08:43:47,391 | INFO | ----------------------------------------

2023-05-27 08:43:52,253 | INFO | Selecting 572 principal component making up 100% of the variance:

2023-05-27 08:43:52,254 | INFO | -----------------------------------------------------------------------

2023-05-27 08:43:52,256 | INFO | PCA with 100% variance hyperparameter tuning and K-Fold Cross-Validation beginning:
2023-05-27 08:43:52,256 | INFO | -------------------------------------------------------------------

2023-05-27 08:43:52,256 | INFO | GridSearchCV Starting:
2023-05-27 08:43:52,257 | INFO | ----------------------

2023-05-27 10:45:33,183 | INFO | Best parameter set: {'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.3, 'n_estimators': 14}
2023-05-27 10:45:33,184 | INFO | ----------------------------------------

2023-05-27 10:45:34,692 | INFO | Forward Selection Starting
2023-05-27 10:45:34,693 | INFO | --------------------------

2023-05-27 10:45:34,694 | INFO | Performing Forward Selection with ratio of 0.05
2023-05-27 10:45:34,694 | INFO | ---------------------------------------------------

2023-05-27 10:51:32,488 | INFO | Performing Forward Selection with ratio of 0.15000000000000002
2023-05-27 10:51:32,489 | INFO | ---------------------------------------------------

2023-05-27 11:11:39,754 | INFO | Performing Forward Selection with ratio of 0.25000000000000006
